21,28,31,33,34,40,23
4,15,18,19,22,29,37
1,12,14,24,33,37,15
7,8,11,15,36,39,37
2,14,15,27,40,43,41
2,5,16,32,35,41,25
1,11,19,23,32,37,14
8,14,20,25,31,41,35
10,16,20,26,33,36,41
3,8,16,19,25,26,32
9,20,26,29,30,34,42
4,11,15,20,24,43,10
3,8,13,14,31,37,6
1,6,27,33,35,43,15
5,20,26,27,28,33,12
3,12,16,23,25,28,17
4,18,31,33,34,41,9
8,11,15,22,35,36,30
9,10,11,33,39,42,25
9,10,24,30,35,40,38
1,11,14,27,39,42,32
4,9,13,32,37,38,42
18,20,22,26,34,37,4
3,15,18,23,31,37,34
7,19,21,28,40,41,3
5,6,9,11,16,35,22
12,16,20,22,31,43,33
3,4,18,28,34,36,6
4,10,16,17,20,24,31
1,9,11,21,29,36,7
3,7,9,15,29,40,17
1,4,10,11,24,28,29
1,26,27,30,37,38,4
4,14,17,21,24,39,7
7,8,13,36,38,42,6
11,32,37,39,41,42,43
9,21,23,34,37,38,40
8,9,19,24,35,43,11
6,9,16,24,29,37,3
18,24,27,32,35,41,10
2,6,8,12,13,17,1
1,18,29,30,31,37,35
2,5,15,27,30,35,11
7,14,18,26,28,39,2
14,23,31,37,39,43,32
5,11,15,16,23,32,4
1,2,7,29,34,42,41
4,6,15,22,30,42,7
3,12,24,28,38,39,10
3,18,25,26,32,33,27
