15,16,19,21,26,42,10
13,22,26,30,40,41,8
3,9,11,15,27,37,10
16,27,34,35,36,38,37
2,3,7,9,36,42,5
6,9,13,17,29,30,25
6,18,23,32,38,43,37
4,32,33,38,41,43,2
2,7,16,25,26,43,3
4,17,19,37,39,42,16
4,14,30,35,40,41,29
9,10,11,25,30,37,12
4,5,26,28,34,38,8
3,12,18,24,34,39,16
3,6,8,21,28,32,10
10,17,18,29,30,41,7
7,13,17,23,28,34,25
7,10,15,31,32,42,41
4,19,21,25,28,40,38
2,4,10,28,38,43,25
6,20,21,23,33,38,10
10,12,18,38,42,43,40
3,5,21,30,37,38,11
4,11,16,20,26,43,9
4,11,17,21,23,30,18
8,9,21,24,29,37,1
3,12,29,31,36,37,26
16,22,23,27,33,37,36
6,8,17,19,23,42,32
12,15,17,25,35,43,32
5,22,28,29,35,39,21
7,10,14,25,32,38,13
2,12,17,18,40,43,16
10,11,24,26,37,38,21
1,28,32,34,41,42,22
6,7,10,23,36,42,11
10,12,18,27,33,40,42
8,13,18,33,34,36,23
1,9,10,28,41,42,33
20,24,25,27,32,37,2
1,13,16,22,27,33,5
12,14,22,23,34,41,36
2,10,16,26,29,30,4
4,5,15,30,34,38,2
1,0,1,2,3,4,27
2,13,17,24,29,34,12
3,4,7,13,16,23,1
6,10,15,21,36,41,40
1,2,8,13,27,39,36
3,20,23,24,28,35,26
