2,18,19,20,25,31,32
9,13,18,19,25,30,15
9,29,33,34,35,41,27
6,20,23,25,31,33,30
2,14,19,22,24,43,6
3,16,19,25,39,40,29
1,6,12,20,22,23,27
13,18,22,28,41,42,26
2,11,20,31,32,37,17
3,31,32,38,39,40,37
2,6,20,24,31,40,34
1,12,15,26,34,40,22
9,10,12,13,28,38,39
4,7,15,23,38,42,1
1,2,6,24,25,41,29
5,14,19,24,27,37,9
16,21,27,32,34,43,42
5,21,24,34,37,38,16
10,19,23,25,30,40,14
1,11,19,28,39,43,16
7,10,12,34,40,43,16
6,11,15,24,27,33,29
5,6,23,30,37,38,28
16,19,26,27,29,32,4
6,10,12,16,39,40,20
5,15,22,24,29,36,2
2,4,23,24,33,41,5
2,9,10,24,25,43,26
2,3,23,32,36,39,20
5,6,9,18,28,40,22
3,4,7,13,22,31,19
19,24,27,31,32,33,17
5,6,13,20,22,28,2
4,17,27,39,41,42,8
5,9,10,28,39,40,24
7,11,31,34,38,43,28
5,17,34,37,39,42,28
12,28,32,36,38,43,13
1,3,5,12,13,38,37
3,4,17,24,27,34,39
8,22,24,28,31,36,38
8,11,17,26,33,43,24
3,7,8,26,42,43,11
2,5,18,27,35,38,24
2,12,13,22,24,34,20
9,14,18,28,30,33,4
9,10,23,31,35,36,38
6,7,13,15,35,39,33
1,3,4,10,15,40,34
2,11,30,32,38,41,4
