21,27,29,30,36,40,23
4,5,18,27,35,36,41
1,16,17,27,29,34,39
1,11,17,26,28,35,12
1,9,14,22,25,34,18
8,11,21,22,25,27,26
4,5,11,12,28,32,37
9,22,23,25,34,37,8
2,5,12,18,30,41,24
5,6,8,19,37,41,9
11,15,21,31,32,43,24
16,18,23,25,29,30,41
3,17,27,29,30,42,6
7,13,14,29,38,42,9
8,9,11,27,37,39,18
8,10,15,16,26,31,42
5,7,19,20,38,43,4
9,13,21,30,32,37,20
3,4,11,12,15,30,17
15,18,22,25,36,40,14
3,8,10,22,28,41,35
19,20,21,25,33,42,41
14,21,26,28,29,31,8
4,17,23,30,39,40,28
11,15,19,30,36,41,10
5,6,9,10,21,38,20
14,16,21,26,37,40,3
6,10,18,20,29,39,21
6,18,25,26,30,42,24
22,30,31,34,38,39,2
6,30,33,34,40,43,1
3,18,23,31,32,37,1
17,24,26,35,40,41,16
2,6,11,14,18,19,21
7,13,30,33,35,36,11
3,13,26,31,32,39,1
10,13,20,22,25,42,14
7,9,10,16,23,29,18
10,21,22,28,37,41,12
17,19,29,37,39,40,10
8,9,14,24,32,39,30
2,16,22,27,29,39,38
17,21,22,27,33,41,43
1,16,19,33,38,41,43
1,4,10,21,23,38,7
7,17,27,36,37,39,4
16,18,20,29,30,38,27
3,16,18,20,28,29,9
8,9,13,20,33,37,19
10,11,18,20,31,43,27
