3,14,18,24,38,43,23
5,9,15,30,32,39,11
7,8,16,32,41,42,31
6,14,16,27,40,42,26
2,8,17,23,24,27,5
10,19,28,30,38,42,18
5,21,22,23,26,39,31
1,12,25,27,39,42,16
4,15,17,20,26,31,43
7,19,24,32,40,42,22
12,15,26,34,35,38,7
2,4,15,16,26,33,25
1,12,20,26,35,37,2
5,6,18,20,27,37,7
5,9,17,28,30,37,27
12,13,20,24,30,35,34
5,7,19,26,37,40,34
2,5,7,10,16,34,14
2,8,29,31,32,33,16
1,19,22,23,31,36,24
1,2,5,25,40,41,26
4,6,10,19,28,38,40
2,10,16,38,39,43,11
1,2,3,20,31,32,13
2,8,15,24,32,39,9
5,7,10,17,29,32,37
13,14,15,28,37,39,4
3,15,17,19,21,34,4
23,29,32,33,37,42,1
5,7,11,12,24,31,3
6,12,30,31,41,43,1
18,32,35,36,39,41,28
5,7,16,34,39,41,29
13,15,18,30,37,43,9
2,6,10,13,16,32,9
2,13,19,27,40,42,14
16,21,22,27,36,43,37
6,16,27,31,32,34,11
11,21,25,31,36,39,32
10,12,15,29,33,42,17
7,9,18,21,26,43,14
4,16,25,30,36,43,19
6,17,18,35,37,38,16
1,5,6,13,34,36,18
16,21,30,32,40,43,15
10,15,30,35,42,43,26
2,3,8,17,23,32,12
9,11,26,28,39,43,1
1,2,20,22,35,38,4
7,14,22,35,37,39,24
