6,13,22,28,29,37,14
11,21,26,31,32,33,22
1,3,6,7,16,19,12
2,4,6,15,21,41,29
4,15,24,40,41,42,31
6,9,12,13,30,40,31
5,13,18,22,27,41,19
6,14,21,22,23,30,32
12,15,21,27,30,35,28
11,12,13,17,25,33,14
8,16,18,22,27,35,3
5,14,19,20,32,42,11
5,8,20,31,36,41,16
2,3,26,33,36,40,19
7,12,21,33,38,40,42
6,14,25,27,38,43,21
2,6,25,26,41,42,18
10,15,25,29,34,36,39
2,9,12,17,33,42,26
9,17,27,30,35,38,6
5,7,26,36,38,39,32
4,6,19,32,33,38,1
5,13,30,31,32,35,29
13,20,24,32,35,42,43
25,26,27,28,32,37,40
16,26,32,35,37,39,25
2,29,30,31,33,34,37
1,21,23,26,31,33,14
10,12,15,25,31,34,26
10,12,37,39,40,43,11
14,18,19,24,25,33,21
4,15,30,37,42,43,32
5,9,20,21,31,41,26
3,7,16,17,20,32,12
2,12,14,26,38,43,8
1,3,12,16,20,35,5
13,15,21,25,36,41,8
5,9,12,19,30,35,29
8,11,15,17,26,43,32
1,18,28,31,35,37,39
5,12,22,29,38,39,19
2,3,14,27,28,38,8
9,10,14,15,39,43,25
7,20,25,29,33,37,27
3,10,15,23,36,37,31
2,9,12,16,31,36,41
1,6,21,23,27,40,9
7,16,17,28,39,43,24
5,19,26,36,39,43,9
2,6,16,24,30,41,18
